objid,ra,dec,z,class
1237648721767563397,179.898219585019,0.240869730918738,0.2011528,GALAXY
1237674650465534131,179.897807901212,0.185588862599279,0.1786593,GALAXY
1237648721230757940,180.067720963921,-0.143700357019084,0.08019324,GALAXY
1237648721230823702,180.216637721368,-0.0706521473697471,0.1080858,GALAXY
1237648721230823771,180.271342244615,-0.0347882546183625,0.1671413,GALAXY
1237648721767628992,180.049280560809,0.397703203516634,0.08656619,GALAXY
1237674649928728709,180.049192924448,-0.34162833190422,0.07986996,GALAXY
1237674649928794307,180.271363401451,-0.328217741592147,0.2034241,GALAXY
1237674649928859693,180.383543988972,-0.370014486433727,0.166103,GALAXY
1237648721767432251,179.649996157002,0.342632063623472,0.1396517,GALAXY
1237648721230627123,179.780804898852,-0.0230522853114168,0.2493847,GALAXY
1237648721230692563,179.942558479762,-0.132848607673779,0.07565793,GALAXY
1237648721767497878,179.762035409737,0.285591089762163,0.1683328,GALAXY
1237648721767563385,179.887378637212,0.372857518479586,0.1983512,GALAXY
1237674649928663343,179.942313964925,-0.333786767805644,0.1543516,GALAXY
1237674650465468669,179.740768147452,0.168704454668454,0.1571575,GALAXY
1237674650465468685,179.761242785875,0.190790197847586,0.178575,GALAXY
1237648721230889104,180.293699266259,-0.0334770609912084,0.165309,GALAXY
1237674649928663314,179.996017910263,-0.259776680527013,0.103913,GALAXY
1237674649928532272,179.618519714055,-0.278100219636839,0.2438032,GALAXY
1237648721230692532,179.928178814,-0.0478116591307641,0.1081091,GALAXY
1237648721230692538,179.929061350764,-0.040068657319958,0.1089733,GALAXY
1237648721230758014,180.022223785024,-0.0748523926871167,0.0814418,GALAXY
1237648721230758728,180.111753684018,-0.103089919444105,0.2574528,GALAXY
1237648721230823776,180.275790063606,-0.117109162313243,0.1651028,GALAXY
1237648721230823777,180.276699144051,-0.114819189103526,0.1648915,GALAXY
1237648721230889136,180.331286598997,-0.108861712157105,0.1620177,GALAXY
1237648721767563454,179.965637701757,0.265375419758974,0.07670525,GALAXY
1237648721767628902,180.129445679152,0.324195718365507,0.2470216,GALAXY
1237648721767628903,180.128878215399,0.32353477810865,0.2488444,GALAXY
1237648721767629060,180.130015981604,0.374693837608184,0.08103441,GALAXY
1237674649928728762,180.093984349821,-0.282822294081367,0.1308324,GALAXY
1237674649928729145,180.03724777586,-0.227950896347963,0.105577,GALAXY
1237674650465403058,179.634482901463,0.0541681205704415,0.05694351,GALAXY
1237648721230823541,180.166423852426,-0.13440996922395,0.07988428,GALAXY
1237648721230823542,180.167809561352,-0.133362604203782,0.162943,GALAXY
1237648721767629053,180.108250729352,0.299624443086813,0.08105004,GALAXY
1237648721767694580,180.260009589539,0.260971657325663,0.2510791,GALAXY
1237674649928728738,180.074794251523,-0.215871164232177,0.08146055,GALAXY
1237674649928728755,180.091676657728,-0.231007280715162,0.205534,GALAXY
1237674649928794312,180.278032412847,-0.320063060042104,0.1002161,GALAXY
1237674649928532846,179.695232722278,-0.281762623895508,0.08443831,GALAXY
1237674649928597665,179.790449439799,-0.313989089886828,0.1793208,GALAXY
1237674649928663552,179.879519617125,-0.392664118887629,0.2284013,GALAXY
1237648721230757963,180.114453771126,-0.0833140240653499,0.2000254,GALAXY
1237648721230823554,180.170477715339,-0.0391871008640089,0.09409562,GALAXY
1237648721230823569,180.18769604337,-0.16409285054786,0.1630622,GALAXY
1237648721230823571,180.187309512052,-0.156736182606768,0.1656666,GALAXY
1237648721230889322,180.30036909437,-0.0158975646155673,0.1087424,GALAXY
1237648721767694500,180.169475726512,0.229540351895452,0.1084199,GALAXY
1237648721767694502,180.16937195354,0.398115512966525,0.08121167,GALAXY
1237648721767694514,180.188465325083,0.231263468955005,0.07669608,GALAXY
1237648721767760005,180.374550557902,0.35133402314153,0.1050408,GALAXY
1237648721767432405,179.681152591563,0.245156886507892,0.1255717,GALAXY
1237648721767432442,179.643587938093,0.23559472414255,0.191315,GALAXY
1237674649928532572,179.608906042608,-0.265303663667123,0.2021609,GALAXY
1237648721767563357,179.841057421916,0.226184671443775,0.1253994,GALAXY
1237674650465534375,179.860377017781,0.100612856639923,0.2012674,GALAXY
1237648721230823835,180.245631510448,-0.151259163749183,0.1804112,GALAXY
1237648721230889124,180.321520412253,-0.0583783202226682,0.1628091,GALAXY
1237648721230889183,180.356095745382,-0.104167682636148,0.1647236,GALAXY
1237648721230889227,180.394051913852,-0.0874951775764017,0.1629927,GALAXY
1237648721767760039,180.393710440849,0.374530859044174,0.104207,GALAXY
1237674649928728729,180.060048978977,-0.302321195704728,0.09473002,GALAXY
1237674649928859820,180.338561234815,-0.326361919721859,0.08312489,GALAXY
1237674650465599597,180.060964053243,0.0388345869214607,0.1064584,GALAXY
1237674650465599639,180.080146033248,0.134019141044367,0.08671725,GALAXY
1237648721230561378,179.602317090801,-0.0586814638086186,0.2583147,GALAXY
1237648721230561496,179.603262545789,-0.0738253894116274,0.1072874,GALAXY
1237648721230561497,179.602877454702,-0.0667072695034991,0.2560571,GALAXY
1237648721230561564,179.640151220282,-0.0838038534628712,0.1066886,GALAXY
1237648721767432395,179.676287019597,0.394408034089641,0.08663627,GALAXY
1237674649928532220,179.675311003166,-0.214217552564453,0.09471276,GALAXY
1237648721767563389,179.895765767824,0.343291107701103,0.1080196,GALAXY
1237648721767563415,179.915777588215,0.391723530688949,0.06927862,GALAXY
1237674650465468698,179.784691106026,0.171016065903653,0.1066423,GALAXY
1237648721230757970,180.11865520734,-0.105316866657825,0.2578151,GALAXY
1237674649928859823,180.340532672694,-0.234941769711031,0.1787405,GALAXY
1237674650465599608,180.062659527151,0.126634834143587,0.1782645,GALAXY
1237674650465665257,180.270296877679,0.0797693617979175,0.07960711,GALAXY
1237648721767563422,179.921720374046,0.259619546557451,0.07601459,GALAXY
1237648721230758103,180.120315430873,-0.123569091218079,0.08124281,GALAXY
1237648721230823502,180.139902543654,-0.193455324282186,0.08101622,GALAXY
1237648721230823618,180.194075015598,-0.0213729366903294,0.1645887,GALAXY
1237648721230823696,180.194347527023,-0.105574585612044,0.1661376,GALAXY
1237648721230889115,180.307077839986,-0.187448506767141,0.1683727,GALAXY
1237648721767629507,180.082985806923,0.238359261817516,0.109032,GALAXY
1237674649928794219,180.176735646197,-0.231122264616218,0.08058569,GALAXY
1237674649928859774,180.30565188517,-0.222637883913451,0.1792283,GALAXY
1237674650465665131,180.157009720669,0.0238998897844396,0.09491483,GALAXY
