objid,ra,dec,z,class,distancia_Mpc,distancia_años_luz,velocidad_recesion_km_s
1237648721767563397,179.898219585019,0.240869730918738,0.2011528,GALAXY,861.4870335083199,2810170703.3041396,60304.092345582394
1237674650465534131,179.897807901212,0.185588862599279,0.1786593,GALAXY,765.15300987942,2495929118.226668,53560.7106915594
1237648721230757940,180.067720963921,-0.143700357019084,0.08019324,GALAXY,343.447550494056,1120325909.7116106,24041.328534583918
1237648721230823702,180.216637721368,-0.0706521473697471,0.1080858,GALAXY,462.90439509851996,1509994136.811372,32403.307656896395
1237648721230823771,180.271342244615,-0.0347882546183625,0.1671413,GALAXY,715.82430229022,2335018874.070698,50107.701160315395
1237648721767628992,180.049280560809,0.397703203516634,0.08656619,GALAXY,370.74129828278603,1209358114.9984481,25951.89087979502
1237674649928728709,180.049192924448,-0.34162833190422,0.07986996,GALAXY,342.06302326802404,1115809581.9002943,23944.41162876168
1237674649928794307,180.271363401451,-0.328217741592147,0.2034241,GALAXY,871.2144422205399,2841901510.5234013,60985.01095543779
1237674649928859693,180.383543988972,-0.370014486433727,0.166103,GALAXY,711.3775235882,2320513481.9447083,49796.426651174
1237648721767432251,179.649996157002,0.342632063623472,0.1396517,GALAXY,598.09323438398,1950980130.5605426,41866.5264068786
1237648721230627123,179.780804898852,-0.0230522853114168,0.2493847,GALAXY,1068.0521742941798,3483986192.5476146,74763.6522005926
1237648721230692563,179.942558479762,-0.132848607673779,0.07565793,GALAXY,324.023954312742,1056966138.9681643,22681.67680189194
1237648721767497878,179.762035409737,0.285591089762163,0.1683328,GALAXY,720.9271982003199,2351664520.5294437,50464.9038740224
1237648721767563385,179.887378637212,0.372857518479586,0.1983512,GALAXY,849.48848278928,2771031430.8586316,59464.1937952496
1237674649928663343,179.942313964925,-0.333786767805644,0.1543516,GALAXY,661.04922228904,2156342563.1068487,46273.4455602328
1237674650465468669,179.740768147452,0.168704454668454,0.1571575,GALAXY,673.0661888305,2195541907.9650908,47114.633218135
1237674650465468685,179.761242785875,0.190790197847586,0.178575,GALAXY,764.791974105,2494751419.53051,53535.43818735
1237648721230889104,180.293699266259,-0.0334770609912084,0.165309,GALAXY,707.9770205646,2309421041.081725,49558.391439522
1237674649928663314,179.996017910263,-0.259776680527013,0.103913,GALAXY,445.0333384022,1451698749.8679764,31152.333688154
1237674649928532272,179.618519714055,-0.278100219636839,0.2438032,GALAXY,1044.14800851808,3406010803.785977,73090.3605962656
1237648721230692532,179.928178814,-0.0478116591307641,0.1081091,GALAXY,463.00418315953993,1510319645.4664192,32410.292821167797
1237648721230692538,179.929061350764,-0.040068657319958,0.1089733,GALAXY,466.70533519101997,1522392803.3931072,32669.373463371398
1237648721230758014,180.022223785024,-0.0748523926871167,0.0814418,GALAXY,348.79482008492,1137768703.117009,24415.6374059444
1237648721230758728,180.111753684018,-0.103089919444105,0.2574528,GALAXY,1102.60582472832,3596700200.2637796,77182.40773098239
1237648721230823776,180.275790063606,-0.117109162313243,0.1651028,GALAXY,707.0939176383199,2306540359.3361998,49496.5742346824
1237648721230823777,180.276699144051,-0.114819189103526,0.1648915,GALAXY,706.1889726901,2303588428.915106,49433.228088307
1237648721230889136,180.331286598997,-0.108861712157105,0.1620177,GALAXY,693.8812074643798,2263440498.748807,48571.68452250659
1237648721767563454,179.965637701757,0.265375419758974,0.07670525,GALAXY,328.50936341435,1071597543.4576097,22995.6554390045
1237648721767628902,180.129445679152,0.324195718365507,0.2470216,GALAXY,1057.93160918704,3450972909.1681247,74055.2126430928
1237648721767628903,180.128878215399,0.32353477810865,0.2488444,GALAXY,1065.73820479336,3476438024.03594,74601.6743355352
1237648721767629060,180.130015981604,0.374693837608184,0.08103441,GALAXY,347.05007080685397,1132077330.9719577,24293.504956479777
1237674649928728762,180.093984349821,-0.282822294081367,0.1308324,GALAXY,560.32238260056,1827771612.0430267,39222.5667820392
1237674649928729145,180.03724777586,-0.227950896347963,0.105577,GALAXY,452.15983340379995,1474945376.5631955,31651.188338265998
1237674650465403058,179.634482901463,0.0541681205704415,0.05694351,GALAXY,243.87478328639398,795519543.0802171,17071.23483004758
1237648721230823541,180.166423852426,-0.13440996922395,0.07988428,GALAXY,342.124352239432,1116009637.0050273,23948.70465676024
1237648721230823542,180.167809561352,-0.133362604203782,0.162943,GALAXY,697.8440354841999,2276367243.74946,48849.082483893995
1237648721767629053,180.108250729352,0.299624443086813,0.08105004,GALAXY,347.117010179976,1132295687.2070816,24298.19071259832
1237648721767694580,180.260009589539,0.260971657325663,0.2510791,GALAXY,1075.30886487754,3507657517.230535,75271.6205414278
1237674649928728738,180.074794251523,-0.215871164232177,0.08146055,GALAXY,348.87512163617,1138030646.7771864,24421.2585145319
1237674649928728755,180.091676657728,-0.231007280715162,0.205534,GALAXY,880.2506151796,2871377506.715855,61617.543062572
1237674649928794312,180.278032412847,-0.320063060042104,0.1002161,GALAXY,429.20044214534,1400051842.278099,30044.030950173797
1237674649928532846,179.695232722278,-0.281762623895508,0.08443831,GALAXY,361.628121489514,1179630932.2987947,25313.96850426598
1237674649928597665,179.790449439799,-0.313989089886828,0.1793208,GALAXY,767.98604860752,2505170490.55773,53759.0234025264
1237674649928663552,179.879519617125,-0.392664118887629,0.2284013,GALAXY,978.1855305342199,3190841200.6026254,68472.9871373954
1237648721230757963,180.114453771126,-0.0833140240653499,0.2000254,GALAXY,856.65866183476,2794420554.904987,59966.1063284332
1237648721230823554,180.170477715339,-0.0391871008640089,0.09409562,GALAXY,402.987960097628,1314546725.8384626,28209.15720683396
1237648721230823569,180.18769604337,-0.16409285054786,0.1630622,GALAXY,698.3545392126799,2278032506.9117618,48884.817744887594
1237648721230823571,180.187309512052,-0.156736182606768,0.1656666,GALAXY,709.5085317500399,2314416830.56863,49665.597222502794
1237648721230889322,180.30036909437,-0.0158975646155673,0.1087424,GALAXY,465.71644835456,1519167054.5325747,32600.1513848192
1237648721767694500,180.169475726512,0.229540351895452,0.1084199,GALAXY,464.33526167305996,1514661623.5775216,32503.4683171142
1237648721767694502,180.16937195354,0.398115512966525,0.08121167,GALAXY,347.809230965498,1134553711.4094543,24346.64616758486
1237648721767694514,180.188465325083,0.231263468955005,0.07669608,GALAXY,328.470090602352,1071469435.5448723,22992.90634216464
1237648721767760005,180.374550557902,0.35133402314153,0.1050408,GALAXY,449.86342317552,1467454486.3985462,31490.439622286398
1237648721767432405,179.681152591563,0.245156886507892,0.1255717,GALAXY,537.79212283198,1754277904.6779187,37645.4485982386
1237648721767432442,179.643587938093,0.23559472414255,0.191315,GALAXY,819.354201461,2672733405.165782,57354.79410227
1237674649928532572,179.608906042608,-0.265303663667123,0.2021609,GALAXY,865.80447317846,2824254191.5081363,60606.313122492196
1237648721767563357,179.841057421916,0.226184671443775,0.1253994,GALAXY,537.0542051103599,1751870817.0699942,37593.79435772519
1237674650465534375,179.860377017781,0.100612856639923,0.2012674,GALAXY,861.97783658956,2811771702.9551444,60338.4485612692
1237648721230823835,180.245631510448,-0.151259163749183,0.1804112,GALAXY,772.6559585532799,2520403736.800799,54085.917098729595
1237648721230889124,180.321520412253,-0.0583783202226682,0.1628091,GALAXY,697.2705753395401,2274496616.75758,48808.9402737678
1237648721230889183,180.356095745382,-0.104167682636148,0.1647236,GALAXY,705.46989906584,2301242810.75277,49382.8929346088
1237648721230889227,180.394051913852,-0.0874951775764017,0.1629927,GALAXY,698.0568881293799,2277061569.0780373,48863.982169056595
1237648721767760039,180.393710440849,0.374530859044174,0.104207,GALAXY,446.29246672579995,1455806026.4595594,31240.472670805997
1237674649928728729,180.060048978977,-0.302321195704728,0.09473002,GALAXY,405.704936316988,1323409502.2660148,28399.34554218916
1237674649928859820,180.338561234815,-0.326361919721859,0.08312489,GALAXY,356.003072772566,1161282023.3841102,24920.21509407962
1237674650465599597,180.060964053243,0.0388345869214607,0.1064584,GALAXY,455.93464872495997,1487258824.1408193,31915.425410747197
1237674650465599639,180.080146033248,0.134019141044367,0.08671725,GALAXY,371.38825040715,1211468472.8281233,25997.1775285005
1237648721230561378,179.602317090801,-0.0586814638086186,0.2583147,GALAXY,1106.29712643618,3608741226.434819,77440.79885053259
1237648721230561496,179.603262545789,-0.0738253894116274,0.1072874,GALAXY,459.48504797756,1498840226.5028007,32163.9533584292
1237648721230561497,179.602877454702,-0.0667072695034991,0.2560571,GALAXY,1096.62839139074,3577201812.716594,76763.9873973518
1237648721230561564,179.640151220282,-0.0838038534628712,0.1066886,GALAXY,456.92053763684,1490474793.771372,31984.437634578797
1237648721767432395,179.676287019597,0.394408034089641,0.08663627,GALAXY,371.041433360738,1210337155.6227274,25972.90033525166
1237674649928532220,179.675311003166,-0.214217552564453,0.09471276,GALAXY,405.6310160623439,1323168374.395366,28394.171124364075
1237648721767563389,179.895765767824,0.343291107701103,0.1080196,GALAXY,462.62087708824,1509069301.0618389,32383.461396176797
1237648721767563415,179.915777588215,0.391723530688949,0.06927862,GALAXY,296.702968237828,967845082.3917948,20769.20777664796
1237674650465468698,179.784691106026,0.171016065903653,0.1066423,GALAXY,456.72224633961997,1489827967.5598404,31970.557243773397
1237648721230757970,180.11865520734,-0.105316866657825,0.2578151,GALAXY,1104.15746483594,3601761650.294836,77291.0225385158
1237674649928859823,180.340532672694,-0.234941769711031,0.1787405,GALAXY,765.5007691307,2497063508.904343,53585.053839149
1237674650465599608,180.062659527151,0.126634834143587,0.1782645,GALAXY,763.4621804162999,2490413632.5179706,53442.352629140994
1237674650465665257,180.270296877679,0.0797693617979175,0.07960711,GALAXY,340.93730258823393,1112137481.042819,23865.611181176377
1237648721767563422,179.921720374046,0.259619546557451,0.07601459,GALAXY,325.551439713746,1061948796.3462394,22788.60077996222
1237648721230758103,180.120315430873,-0.123569091218079,0.08124281,GALAXY,347.94259578181396,1134988747.440277,24355.98170472698
1237648721230823502,180.139902543654,-0.193455324282186,0.08101622,GALAXY,346.972167595268,1131823210.6957643,24288.05173166876
1237648721230823618,180.194075015598,-0.0213729366903294,0.1645887,GALAXY,704.89215617178,2299358213.4323463,49342.4509320246
1237648721230823696,180.194347527023,-0.105574585612044,0.1661376,GALAXY,711.5257067174399,2320996855.3122888,49806.799470220794
1237648721230889115,180.307077839986,-0.187448506767141,0.1683727,GALAXY,721.0980799013798,2352221936.638301,50476.86559309659
1237648721767629507,180.082985806923,0.238359261817516,0.109032,GALAXY,466.95673258079995,1523212861.6785696,32686.971280656
1237674649928794219,180.176735646197,-0.231122264616218,0.08058569,GALAXY,345.128315496086,1125808565.1482325,24158.98208472602
1237674649928859774,180.30565188517,-0.222637883913451,0.1792283,GALAXY,767.58989428802,2503878235.167521,53731.292600161396
1237674650465665131,180.157009720669,0.0238998897844396,0.09491483,GALAXY,406.496431233602,1325991358.6840096,28454.75018635214
